code,name,industry,group,roa,roe,debt_ratio,current_ratio,quick_ratio,asset_turnover,inventory_turnover,ar_turnover,cf_to_revenue,interest_coverage,roa_2019,roe_2019,debt_ratio_2019,current_ratio_2019,quick_ratio_2019,roa_2020,roe_2020,debt_ratio_2020,current_ratio_2020,quick_ratio_2020,roa_2021,roe_2021,debt_ratio_2021,current_ratio_2021,quick_ratio_2021,roa_growth
002460,江西赣锋锂业股份有限公司,有色,标杆,0.070616,0.109428,0.376313,1.895979,1.342895,0.304162,1.919347,4.789326,0.165055,16.019003,0.024864,0.042019,0.40827,1.754305,1.038154,0.0483,0.079263,0.390637,2.151863,1.60872,0.138684,0.207002,0.330032,1.781769,1.38181,4.577728
600028,中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分,石化,绿色,0.036739,0.074119,0.501684,0.837559,0.521157,1.447528,11.510835,64.148784,0.071374,9.695683,0.041,0.082165,0.501005,0.771253,0.436513,0.024209,0.047368,0.488917,0.871251,0.580252,0.045007,0.092823,0.515131,0.870172,0.546705,0.097731
000912,四川泸天化股份有限公司,石化,绿色,0.045569,0.067698,0.31993,2.132262,1.734962,0.741539,9.942199,151.067264,0.071717,18.174516,0.041402,0.055668,0.25628,2.805982,2.13494,0.048644,0.070527,0.310289,1.916662,1.614689,0.046661,0.076899,0.39322,1.674142,1.455257,0.127026
601857,中国石油天然气股份有限公司（独山子石化分公司、长庆石化分公司,石化,争议,0.027933,0.050757,0.453029,0.81264,0.557648,0.914218,12.479938,41.911821,0.146078,6.099867,0.024517,0.046387,0.471468,0.705926,0.43088,0.013455,0.024494,0.450697,0.804018,0.591704,0.045828,0.081389,0.436921,0.927976,0.650361,0.869238
600339,中油工程建设股份有限公司,石化,棕色,0.007116,0.029343,0.758041,1.242242,1.037161,0.709107,5.975745,6.802304,0.001742,6.7081,0.00869,0.033989,0.744335,1.264546,0.875802,0.008148,0.035097,0.767837,1.228017,1.119935,0.00451,0.018944,0.76195,1.234162,1.115745,-0.481053
600871,中石化石油工程技术服务股份有限公司,石化,棕色,0.006276,0.057705,0.891286,0.575898,0.555184,1.108511,58.013056,7.209644,0.058222,1.764217,0.014729,0.135166,0.891027,0.583147,0.560503,0.001293,0.011748,0.889954,0.56775,0.548043,0.002807,0.026203,0.892877,0.576798,0.557008,-0.809433
000554,中国石化山东泰山石油股份有限公司,石化,独立测试集,0.005029,0.007909,0.360113,0.931058,0.341861,1.901437,9.839824,7304.048109,0.022232,5.403562,0.004597,0.006664,0.310079,0.789584,0.187778,0.004988,0.008084,0.382912,0.943953,0.490034,0.005501,0.008979,0.387348,1.059636,0.347772,0.196553
600346,恒力石化股份有限公司（恒力石化（大连）有限公司19）,石化,标杆,0.067507,0.277798,0.756891,0.640578,0.370825,0.77233,5.133018,111.947308,0.140269,4.776093,0.057991,0.275251,0.789315,0.647817,0.411222,0.070643,0.286974,0.753836,0.60729,0.377789,0.073887,0.271169,0.727524,0.666627,0.323465,0.274107
002493,荣盛石化股份有限公司（逸盛大化石化有限公司19）,石化,标杆,0.047951,0.172374,0.733038,0.630465,0.322082,0.479082,3.138856,51.190979,0.107226,9.415962,0.016193,0.071129,0.77234,0.684923,0.35741,0.055366,0.191408,0.710742,0.503314,0.275629,0.072294,0.254583,0.716031,0.70316,0.333208,3.464412
600688,上海石油化工股份有限公司,石化,争议,0.035215,0.053945,0.346702,1.300815,0.945266,1.922091,13.232976,67.584206,0.039984,6.277653,0.048759,0.074132,0.342278,1.441195,1.004852,0.014289,0.021783,0.34401,1.136066,0.880769,0.042597,0.06592,0.35382,1.325185,0.950177,-0.126379
002135,中泰化学股份有限公司,化工,绿色,0.023786,0.063569,0.626834,1.228358,0.93227,0.706879,4.523302,2.903475,0.014893,6.245099,0.023164,0.060151,0.614909,1.263654,0.712172,0.019304,0.05428,0.644372,1.141148,0.972871,0.028891,0.076275,0.621221,1.280272,1.111766,0.247268
002648,卫星化学股份有限公司,化工,绿色,0.081812,0.189546,0.554572,1.259617,1.052354,0.506956,6.99023,35.491011,0.068568,12.346622,0.070695,0.136893,0.483574,0.693166,0.578486,0.051255,0.12151,0.57818,1.205886,1.071425,0.123485,0.310234,0.601961,1.8798,1.507151,0.746727
000830,鲁西化工集团股份有限公司,化工,争议,0.075184,0.154563,0.538517,0.27113,0.132413,0.710191,10.550303,278.208412,0.214526,7.185956,0.055824,0.150693,0.629548,0.240258,0.153622,0.025882,0.057346,0.548661,0.263509,0.128717,0.143844,0.25565,0.43734,0.309622,0.1149,1.576716
600230,沧州大化股份有限公司,化工,争议,-0.000159,-0.001313,0.346751,2.015697,1.826838,0.374496,10.472984,263.011056,0.074157,-1.328506,0.005212,0.006611,0.211633,3.619906,3.3695,0.002112,0.003441,0.386233,1.601197,1.454413,-0.007802,-0.013992,0.442389,0.825989,0.6566,-2.496881
600409,三友化工股份有限公司,化工,绿色,0.043996,0.085418,0.490793,0.920127,0.70918,0.816993,9.363381,47.958505,0.077744,5.650841,0.029834,0.061453,0.514534,0.742489,0.561301,0.030992,0.060494,0.487683,0.844252,0.679995,0.071161,0.134307,0.470161,1.17364,0.886243,1.385266
000422,湖北宜化化工股份有限公司,化工,棕色,0.037987,0.258705,0.89978,0.532384,0.421654,0.716566,9.411409,86.934618,0.147453,2.749121,0.00459,0.092836,0.950554,0.430168,0.333009,0.009724,0.15934,0.938974,0.556744,0.45498,0.099647,0.523938,0.809812,0.610239,0.476973,20.707594
300082,江苏奥克化学股份有限公司,化工,独立测试集,0.06993,0.110866,0.371861,1.274648,1.114155,1.099792,17.70168,18.45928,0.128051,12.242513,0.074253,0.107498,0.309266,1.436991,1.257603,0.080519,0.124624,0.353901,1.251087,1.075559,0.05502,0.100477,0.452416,1.135866,1.009304,-0.259022
600309,万华化学集团股份有限公司,化工,标杆,0.106267,0.264007,0.594524,0.618883,0.450229,0.672097,6.000244,14.607539,0.267465,14.989733,0.109361,0.241134,0.546471,0.524192,0.332519,0.077867,0.201641,0.613834,0.594806,0.467064,0.131572,0.349246,0.623268,0.73765,0.551103,0.203095
600426,华鲁恒升化工股份有限公司,化工,标杆,0.158712,0.202502,0.221191,1.434222,1.28221,0.783949,28.408227,444.150853,0.225234,43.57048,0.134876,0.17237,0.217518,1.43426,1.298001,0.08752,0.114928,0.238479,0.879608,0.805989,0.25374,0.320207,0.207576,1.988797,1.742641,0.881275
002067,浙江景兴纸业股份有限公司,造纸,绿色,0.046781,0.065237,0.27289,2.635684,2.189709,0.793388,9.061074,11.263904,0.135598,24.244225,0.035916,0.044899,0.200056,2.096496,1.692907,0.045481,0.067461,0.325814,2.883226,2.47704,0.058945,0.08335,0.292799,2.927329,2.399179,0.641176
600963,岳阳林纸股份有限公司,造纸,绿色,0.02156,0.040154,0.463615,1.71694,0.736535,0.460969,1.095146,9.884115,0.08901,5.507083,0.020145,0.037823,0.467387,1.659607,0.624318,0.026173,0.048288,0.457988,1.788516,0.78796,0.018363,0.034353,0.465469,1.702696,0.797327,-0.088461
000815,中冶美利云产业投资股份有限公司,造纸,争议,0.008693,0.01318,0.326315,2.201221,1.35388,0.360616,1.560094,7.032808,-0.012495,5.697282,0.015734,0.024435,0.356077,1.932728,1.240655,0.015587,0.022698,0.313294,2.34796,1.418575,-0.005242,-0.007593,0.309574,2.322976,1.402409,-1.333171
600433,广东冠豪高新技术股份有限公司,造纸,争议,0.04442,0.063105,0.294665,1.525246,1.184307,0.71373,6.064028,8.255119,0.133044,18.924926,0.042327,0.062576,0.323578,1.151518,0.831998,0.04817,0.069303,0.30494,1.560546,1.229658,0.042763,0.057437,0.255477,1.863676,1.491265,0.010286
600567,山鹰国际控股股份有限公司,造纸,争议,0.030746,0.085441,0.639602,0.74948,0.610456,0.577042,8.325758,7.026259,0.054638,3.694268,0.031782,0.090787,0.649931,0.777822,0.659542,0.030576,0.080637,0.620814,0.773159,0.643217,0.029879,0.084899,0.64806,0.697459,0.52861,-0.059852
600356,牡丹江恒丰纸业股份有限公司,造纸,棕色,0.038895,0.050468,0.228414,2.749348,1.838404,0.62093,2.868482,5.329959,0.153844,8.576655,0.034325,0.046119,0.25574,2.361871,1.570513,0.045746,0.059908,0.236385,2.592924,1.764004,0.036613,0.045376,0.193115,3.29325,2.180695,0.066678
002511,中顺洁柔纸业股份有限公司,造纸,独立测试集,0.099522,0.148729,0.332341,1.601866,0.979459,1.121117,3.606337,7.80771,0.151704,62.985784,0.1002,0.148107,0.323462,1.512352,0.968693,0.121133,0.179663,0.325776,1.767794,1.040851,0.077233,0.118416,0.347785,1.525451,0.928833,-0.229213
603165,浙江荣晟环保纸业股份有限公司,造纸,标杆,0.115898,0.153892,0.246151,5.187312,4.902799,0.865444,21.313293,10.558989,0.143953,38.818311,0.128589,0.17031,0.244973,6.78395,6.419003,0.10895,0.139298,0.217861,5.945865,5.649566,0.110154,0.152067,0.275621,2.832119,2.639828,-0.143362
002078,山东太阳纸业股份有限公司,造纸,标杆,0.063912,0.142378,0.550726,0.704144,0.514234,0.686595,6.926087,15.191592,0.221544,5.970303,0.068046,0.149495,0.544827,0.788492,0.616099,0.054866,0.121184,0.547247,0.694415,0.493285,0.068825,0.156456,0.560103,0.629526,0.433319,0.011441
601111,中国国际航空股份有限公司,航空,绿色,-0.031383,-0.134373,0.713239,0.299228,0.275053,0.319076,45.541175,23.747369,0.158239,-4.974551,0.024646,0.071536,0.655479,0.319682,0.292648,-0.055698,-0.188777,0.704953,0.245489,0.222428,-0.063098,-0.285878,0.779284,0.332511,0.310083,-3.560213
600029,中国南方航空股份有限公司,航空,绿色,-0.020082,-0.076606,0.742544,0.307966,0.290265,0.367275,62.894342,39.925747,0.15878,-1.660808,0.010093,0.040167,0.74872,0.175285,0.155461,-0.036245,-0.139283,0.739776,0.407448,0.389053,-0.034095,-0.130702,0.739138,0.341166,0.326282,-4.378087
600115,中国东方航空股份有限公司,航空,争议,-0.026167,-0.137678,0.786014,0.267434,0.243354,0.289688,41.166499,63.826345,0.115054,-2.377308,0.01231,0.049477,0.751191,0.251943,0.221227,-0.044453,-0.220586,0.798476,0.225413,0.204833,-0.046359,-0.241923,0.808374,0.324947,0.304002,-4.765878
601021,春秋航空股份有限公司,航空,争议,0.015113,0.027744,0.563931,0.990852,0.970337,0.358821,58.902754,127.39186,0.158426,5.747742,0.062594,0.122209,0.48781,1.123709,1.104224,-0.018229,-0.041688,0.562725,0.948157,0.928153,0.000973,0.002712,0.641258,0.900691,0.878634,-0.984455
600897,厦门国际航空港股份有限公司,航空,棕色,0.063626,0.074284,0.152429,2.320359,2.319383,0.301337,1668.853613,6.908358,0.385806,361.13446,0.117896,0.135697,0.131179,2.465187,2.463878,0.039632,0.047051,0.15767,2.088231,2.087673,0.03335,0.040105,0.168438,2.40766,2.406596,-0.717123
600004,广州白云国际机场股份有限公司,航空,棕色,0.006786,0.01107,0.309668,0.515179,0.505088,0.233764,83.7367,5.777255,0.17606,7.320466,0.043169,0.065846,0.344396,0.362052,0.353055,-0.008819,-0.011916,0.2599,0.629012,0.618955,-0.013992,-0.02072,0.324707,0.554473,0.543254,-1.324117
600221,海南航空控股股份有限公司,航空,独立测试集,-0.12865,0.190496,0.922098,0.71851,0.691767,0.253605,43.497073,14.34049,0.064137,5.720329,0.003492,0.011943,0.707627,0.486967,0.479212,-0.417693,,1.135219,0.370547,0.364161,0.028252,0.369049,0.923447,1.298016,1.23193,7.09056
600009,上海国际机场股份有限公司,航空,标杆,0.028854,0.028881,0.228899,2.313036,2.309085,0.181418,335.933696,4.526215,0.130051,8.794091,0.141531,0.162124,0.12702,2.644323,2.641281,-0.035196,-0.039534,0.10973,2.713928,2.709181,-0.019773,-0.035947,0.449947,1.580856,1.576793,-1.139706
