company,year,status,tif
云南铝业股份有限公司,2019,Batch job 'j-26060816054247839427d45fa11079a3' didn't finish successfully. Status: error (after 0:01:29).,
云南铝业股份有限公司,2021,Batch job 'j-260608160717423ba6ea8117455bcd9d' didn't finish successfully. Status: error (after 0:03:11).,
江西赣锋锂业股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\江西赣锋锂业股份有限公司_2019_rgb.tif
江西赣锋锂业股份有限公司,2021,Batch job 'j-2606081613524b13bf741b8738a2ccc3' didn't finish successfully. Status: error (after 0:01:33).,
中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\中国石油化工股份有限公司金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海_2019_rgb.tif
中国石油化工股份有限公司（金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海炼化分公司）,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\中国石油化工股份有限公司金陵分公司、北京燕山分公司、济南分公司、九江分公司、镇海_2021_rgb.tif
四川泸天化股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\四川泸天化股份有限公司_2019_rgb.tif
四川泸天化股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\四川泸天化股份有限公司_2021_rgb.tif
中国石油天然气股份有限公司（独山子石化分公司、长庆石化分公司、）,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\中国石油天然气股份有限公司独山子石化分公司、长庆石化分公司、_2019_rgb.tif
中国石油天然气股份有限公司（独山子石化分公司、长庆石化分公司、）,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\中国石油天然气股份有限公司独山子石化分公司、长庆石化分公司、_2021_rgb.tif
中石化石油工程技术服务股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\中石化石油工程技术服务股份有限公司_2019_rgb.tif
中石化石油工程技术服务股份有限公司,2021,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\中石化石油工程技术服务股份有限公司_2021_rgb.tif
中国石化山东泰山石油股份有限公司,2019,ok,C:\Users\28129\Desktop\共享1-数据收集与核对\data_competition\data1\geo_data\rgb_chips\中国石化山东泰山石油股份有限公司_2019_rgb.tif
