code,name,industry,group,year,index,lat,lon,facility
600029,中国南方航空股份有限公司,航空,绿色,2019,ndwi,23.39,113.3,广州白云国际机场
600029,中国南方航空股份有限公司,航空,绿色,2021,ndvi,23.39,113.3,广州白云国际机场
600029,中国南方航空股份有限公司,航空,绿色,2021,ndwi,23.39,113.3,广州白云国际机场
600115,中国东方航空股份有限公司,航空,争议,2019,ndvi,31.14,121.8,上海浦东国际机场
600115,中国东方航空股份有限公司,航空,争议,2019,ndwi,31.14,121.8,上海浦东国际机场
600115,中国东方航空股份有限公司,航空,争议,2021,ndvi,31.14,121.8,上海浦东国际机场
600115,中国东方航空股份有限公司,航空,争议,2021,ndwi,31.14,121.8,上海浦东国际机场
600221,海南航空控股股份有限公司,航空,独立测试集,2019,ndvi,19.93,110.46,海口美兰国际机场
600221,海南航空控股股份有限公司,航空,独立测试集,2019,ndwi,19.93,110.46,海口美兰国际机场
600221,海南航空控股股份有限公司,航空,独立测试集,2021,ndvi,19.93,110.46,海口美兰国际机场
600221,海南航空控股股份有限公司,航空,独立测试集,2021,ndwi,19.93,110.46,海口美兰国际机场
600897,厦门国际航空港股份有限公司,航空,棕色,2019,ndvi,24.54,118.13,厦门高崎国际机场
600897,厦门国际航空港股份有限公司,航空,棕色,2019,ndwi,24.54,118.13,厦门高崎国际机场
600897,厦门国际航空港股份有限公司,航空,棕色,2021,ndvi,24.54,118.13,厦门高崎国际机场
600897,厦门国际航空港股份有限公司,航空,棕色,2021,ndwi,24.54,118.13,厦门高崎国际机场
601021,春秋航空股份有限公司,航空,争议,2019,ndvi,31.2,121.33,上海虹桥国际机场
601021,春秋航空股份有限公司,航空,争议,2019,ndwi,31.2,121.33,上海虹桥国际机场
601021,春秋航空股份有限公司,航空,争议,2021,ndvi,31.2,121.33,上海虹桥国际机场
601021,春秋航空股份有限公司,航空,争议,2021,ndwi,31.2,121.33,上海虹桥国际机场
601111,中国国际航空股份有限公司,航空,绿色,2019,ndvi,40.08,116.58,北京首都国际机场
601111,中国国际航空股份有限公司,航空,绿色,2019,ndwi,40.08,116.58,北京首都国际机场
601111,中国国际航空股份有限公司,航空,绿色,2021,ndvi,40.08,116.58,北京首都国际机场
601111,中国国际航空股份有限公司,航空,绿色,2021,ndwi,40.08,116.58,北京首都国际机场
